Maths,Physics,English,Economics,Biology
98,11,37,46,91
23,69,46,50,46
80,53,23,99,18
28,93,30,43,64
19,39,73,73,32
19,51,46,32,78
91,34,27,77,80
93,36,61,14,42
30,33,43,24,90
69,73,32,14,37
63,41,97,85,51
64,74,83,37,14
72,42,99,37,90
43,35,92,16,71
28,79,45,62,71
Maths,Physics,English,Economics,Biology
83,49,91,51,58
84,17,56,16,38
45,47,39,86,55
30,39,31,82,32
48,20,82,99,56
21,10,58,42,37
60,29,99,46,36
72,45,35,39,80
57,80,52,24,85
94,75,80,10,71
67,42,14,90,40
92,85,68,48,99
26,71,46,49,38
10,62,37,11,17
16,41,20,75,54
63,98,60,97,84
29,63,85,51,24
41,23,97,97,43
14,27,66,51,53
60,95,93,57,89
98,12,49,16,75
75,71,36,17,73
62,82,96,27,27
59,62,90,70,49
21,93,20,46,14
48,11,22,19,47
28,69,89,42,50
73,49,63,38,71
62,86,89,93,11
77,33,29,16,24
Maths,Physics,English,Economics,Biology
84,91,43,59,81
45,30,78,63,35
64,36,55,86,87
54,15,15,79,94
79,73,38,17,46
88,91,27,41,89
53,88,29,45,89
62,99,61,94,48
59,83,87,28,26
24,28,76,77,85
48,16,17,18,27
59,13,41,70,25
13,13,90,74,89
42,74,50,24,22
45,14,60,15,37
86,97,99,15,22
51,58,14,92,84
89,39,96,36,12
43,43,14,94,27
89,85,99,97,59
59,29,19,21,76
67,52,96,21,97
82,85,73,14,47
40,67,87,23,49
40,51,68,11,98
96,59,67,89,59
47,87,31,18,49
31,39,84,50,85
53,97,73,86,45
50,77,65,98,82
Maths,Physics,English,Economics,Biology
84,76,51,21,37
62,98,26,63,66
34,35,77,27,33
59,59,21,46,22
29,30,11,84,59
20,40,13,96,60
59,14,50,77,93
83,25,27,26,33
54,29,54,62,87
32,65,89,15,23
31,63,33,76,59
87,92,64,48,59
12,24,93,64,91
59,41,11,92,55
79,36,41,44,63
35,73,61,46,46
35,59,11,70,75
40,22,26,65,51
11,46,81,44,26
82,68,10,21,69
38,56,89,81,78
59,24,24,68,38
84,80,66,19,24
85,43,92,81,93
39,95,59,48,53
81,64,87,88,30
86,91,69,50,60
26,15,24,93,67
52,87,70,63,17
14,76,93,36,79
Maths,Physics,English,Economics,Biology
23,25,26,84,59
96,65,18,64,18
88,95,70,12,37
92,18,13,50,17
31,82,60,38,65
85,29,94,85,44
52,69,92,35,76
29,27,21,64,25
26,49,22,16,26
29,23,30,60,10
80,37,78,66,99
92,12,48,85,61
20,50,58,28,16
38,89,41,21,75
89,72,59,51,87
36,37,22,69,39
11,70,40,28,21
43,64,71,50,61
43,87,55,67,76
30,63,85,61,99
98,36,74,53,65
78,33,52,28,44
93,68,99,72,99
47,62,67,68,76
52,13,89,38,84
78,47,14,36,10
72,55,44,12,65
64,25,46,88,14
31,80,80,57,83
37,15,48,84,18
Maths,Physics,English,Economics,Biology
48,81,62,34,48
55,88,92,95,15
81,70,40,97,56
21,68,52,86,62
63,44,25,27,70
18,27,25,45,49
87,69,12,60,39
23,87,57,14,57
49,83,90,78,38
42,43,42,40,25
22,98,37,56,53
20,49,75,87,12
31,13,49,47,78
53,23,96,44,33
29,40,22,52,53
90,66,48,69,31
37,12,11,27,20
47,29,90,48,39
76,79,55,64,28
88,75,39,76,90
12,74,17,39,58
62,90,16,22,12
97,96,81,76,13
58,92,65,34,26
57,50,72,11,37
22,86,49,47,21
86,93,34,34,27
54,31,19,24,56
18,86,69,85,13
33,31,99,25,90
Maths,Physics,English,Economics,Biology
18,74,53,67,51
95,29,24,24,44
14,28,92,91,52
30,36,54,81,99
19,50,82,17,12
25,66,52,56,57
45,84,29,33,54
53,52,43,69,19
51,90,90,80,23
42,38,36,81,95
41,45,99,69,84
60,72,94,76,78
40,24,31,31,32
95,68,88,11,93
88,59,39,31,27
36,71,72,71,64
45,84,92,34,75
99,90,38,13,36
17,18,20,87,54
57,60,13,56,82
26,43,96,23,24
24,90,65,36,94
58,33,86,80,43
85,96,11,62,51
85,76,76,32,40
30,75,21,21,33
86,58,84,40,48
65,23,52,70,23
32,47,68,31,57
10,79,83,69,11
Maths,Physics,English,Economics,Biology
23,86,15,88,43
62,78,63,86,54
43,73,85,26,49
21,48,89,62,44
52,84,40,86,26
90,33,25,55,17
92,79,64,16,75
56,58,56,33,17
44,11,50,13,24
66,93,66,88,92
55,16,81,16,61
82,58,69,87,24
89,85,76,83,45
65,78,41,18,12
20,45,67,73,95
63,40,36,77,49
88,84,24,52,97
47,24,75,92,63
12,31,29,68,67
55,70,42,60,40
84,59,73,83,14
19,69,58,70,29
14,88,67,97,50
69,85,38,44,18
73,96,44,52,97
41,45,97,31,64
18,43,38,45,74
81,12,34,69,60
20,98,47,17,72
65,97,92,15,98
Maths,Physics,English,Economics,Biology
70,34,63,93,88
25,29,31,20,22
79,94,88,57,34
60,98,67,46,61
59,77,35,82,16
44,24,12,53,14
13,45,97,26,86
89,19,16,50,43
48,61,93,32,43
35,30,46,59,14
21,56,98,11,45
59,32,29,27,14
30,53,68,46,37
95,52,80,97,90
47,57,87,18,65
96,26,82,51,54
20,16,95,53,22
48,97,49,61,36
24,11,20,75,20
10,24,82,72,96
96,49,80,95,11
55,84,39,16,58
59,19,36,20,53
18,87,25,19,78
77,26,77,26,34
34,75,47,54,42
64,34,59,87,64
25,82,61,51,67
15,30,65,37,88
63,86,35,91,61
Maths,Physics,English,Economics,Biology
62,45,95,50,47
36,88,77,86,37
63,69,37,46,27
82,84,60,33,74
86,20,49,66,74
76,46,15,33,25
50,91,74,87,58
65,76,65,34,79
65,72,42,48,40
38,65,60,79,86
86,90,22,11,73
11,72,72,55,31
51,92,28,90,91
11,33,94,23,48
98,12,97,58,12
27,55,27,90,43
56,35,51,85,20
41,21,37,63,54
44,57,45,40,90
18,95,47,34,43
60,79,79,50,60
65,49,72,71,47
49,66,32,13,69
73,87,16,19,22
50,62,45,68,10
11,65,27,93,26
41,87,61,64,17
15,30,79,85,31
86,37,73,62,23
74,56,93,15,79
Maths,Physics,English,Economics,Biology
49,85,79,97,14
88,40,78,14,51
76,83,12,46,73
44,44,58,63,56
53,97,91,29,35
88,25,30,21,26
83,62,19,22,67
88,84,10,65,85
61,73,98,14,78
59,60,24,37,26
50,26,64,53,56
24,28,35,93,15
32,71,61,82,41
21,45,91,71,58
34,22,20,53,95
95,19,21,79,91
17,77,97,81,93
53,33,32,60,90
76,38,12,47,84
71,11,30,76,56
56,58,96,83,18
28,64,82,41,94
76,91,91,53,74
45,54,70,19,43
55,69,27,76,99
96,76,96,29,61
22,72,44,90,19
53,10,64,70,84
24,50,62,25,85
34,61,46,32,71
Maths,Physics,English,Economics,Biology
84,95,61,90,52
68,85,98,29,16
50,54,65,19,56
56,94,65,30,20
43,46,11,40,11
98,74,33,86,47
26,85,85,84,98
25,44,93,29,24
47,55,81,83,36
38,88,74,38,28
10,63,20,88,70
69,41,14,42,14
82,19,20,89,61
16,43,68,58,71
89,16,41,14,99
19,32,34,83,28
85,91,73,46,62
91,80,40,52,79
88,97,41,68,16
10,59,32,14,53
58,47,81,12,72
57,83,55,27,40
22,23,18,14,22
84,11,82,66,62
21,94,56,45,94
35,15,19,83,74
30,21,71,65,58
21,11,69,63,28
18,63,10,10,65
58,85,25,16,59
Maths,Physics,English,Economics,Biology
51,61,62,92,59
46,40,96,41,19
64,30,38,55,20
50,27,45,70,14
17,50,82,96,95
68,41,69,20,25
10,83,91,43,84
34,23,96,26,25
60,14,84,64,93
37,40,54,18,52
78,69,93,41,30
35,64,99,77,96
54,18,31,42,72
78,93,86,51,66
63,71,12,36,74
40,40,61,66,49
58,56,43,92,62
78,49,23,51,12
10,74,45,78,54
95,39,38,18,22
65,16,96,34,21
47,97,26,13,53
27,16,17,60,78
21,85,80,13,93
59,64,13,17,11
82,47,68,69,29
71,87,27,79,83
10,80,99,74,16
33,37,77,78,99
74,80,42,58,96
Maths,Physics,English,Economics,Biology
15,23,89,97,34
37,86,92,21,35
26,11,24,83,41
95,99,28,57,99
98,14,41,57,18
35,62,87,38,21
14,11,55,50,96
92,13,56,49,15
52,73,47,74,30
54,21,53,46,62
74,54,58,61,51
27,81,89,52,70
39,25,32,54,81
56,93,10,71,87
27,94,81,21,89
91,81,52,40,51
76,28,25,76,82
56,36,62,88,88
46,65,39,29,53
58,77,58,77,38
91,75,28,16,22
49,40,75,93,57
33,56,51,21,90
44,15,53,70,44
49,93,71,11,82
37,37,39,21,26
13,95,59,58,99
48,48,83,30,93
60,94,42,66,78
68,37,23,60,57
Maths,Physics,English,Economics,Biology
74,68,73,82,93
67,78,90,86,21
86,25,84,22,61
12,82,76,15,65
48,42,74,63,43
12,27,94,18,61
73,32,61,90,66
20,15,84,15,39
82,27,18,71,84
49,19,36,23,71
70,43,14,38,86
89,15,13,57,33
64,25,70,88,16
82,68,13,79,20
48,39,96,56,80
85,36,47,97,34
96,98,59,14,77
78,45,61,47,62
68,22,98,19,55
33,28,66,70,40
16,69,37,35,52
55,39,72,63,51
93,58,56,62,71
39,14,32,86,59
50,34,16,35,43
58,13,46,64,79
61,96,94,58,80
67,74,24,28,16
21,47,64,37,17
27,28,49,64,59
Maths,Physics,English,Economics,Biology
46,89,26,84,88
68,33,29,31,71
76,58,22,75,74
77,97,53,73,83
58,83,85,30,55
82,73,87,95,37
81,14,58,25,50
45,29,94,32,10
96,84,61,41,44
69,24,68,81,28
68,90,13,74,35
80,26,23,83,10
86,86,66,53,60
99,97,10,81,13
49,46,90,41,93
15,14,61,29,49
90,98,44,19,43
99,33,74,25,39
96,47,85,90,81
45,28,18,64,73
77,49,86,50,96
59,23,27,61,33
21,18,27,79,71
67,20,89,56,10
81,85,67,72,38
92,54,75,65,82
74,76,66,86,93
98,10,14,64,16
73,51,26,25,78
57,14,17,47,20
Maths,Physics,English,Economics,Biology
41,49,88,55,97
13,35,38,18,94
42,76,43,13,27
58,77,63,88,99
87,49,68,93,38
45,93,77,37,38
25,96,15,36,82
12,13,55,63,96
20,15,56,36,39
17,41,75,98,55
83,68,48,25,43
60,26,89,48,84
87,53,57,60,22
38,53,16,18,20
99,56,67,19,97
24,49,10,89,19
27,36,43,63,93
20,62,91,90,66
17,20,69,39,65
28,30,45,19,92
11,64,27,99,90
91,93,77,20,36
11,87,22,65,77
20,69,88,51,49
40,99,29,25,21
66,37,15,41,70
91,51,80,43,21
55,45,11,85,69
31,73,48,60,98
68,36,59,15,88
Maths,Physics,English,Economics,Biology
78,30,58,42,93
58,52,16,74,55
19,49,30,68,99
30,92,57,52,26
10,57,84,82,21
56,22,68,91,64
35,17,53,28,84
54,23,87,54,59
16,53,41,30,84
41,37,18,27,51
89,50,24,11,70
38,28,80,22,72
31,56,64,81,33
14,77,15,74,41
67,39,32,51,57
56,36,86,43,72
65,81,67,36,44
75,81,81,15,76
28,75,71,83,19
81,14,10,44,22
76,28,43,50,82
80,97,57,92,30
56,79,62,39,84
40,40,37,18,64
50,39,35,99,12
95,26,23,57,28
26,23,64,88,36
36,28,76,64,40
22,41,77,80,40
34,37,23,49,19
Maths,Physics,English,Economics,Biology
16,96,47,31,64
88,69,96,30,34
90,67,51,73,43
79,52,27,83,19
94,14,19,71,21
42,80,59,77,58
80,15,56,47,29
61,20,46,97,42
49,79,61,59,32
92,71,91,27,43
28,61,26,55,48
91,44,69,65,64
84,71,91,75,66
77,99,12,96,85
62,65,14,51,62
95,38,34,30,56
63,29,38,82,70
79,59,80,76,23
93,56,36,13,71
51,44,27,26,27
27,85,49,17,26
83,28,49,30,60
34,63,37,18,22
47,16,32,77,57
32,59,75,71,13
11,85,95,65,80
32,30,75,11,93
62,92,77,58,77
28,76,93,35,88
45,63,67,14,17
Maths,Physics,English,Economics,Biology
88,53,58,31,41
94,88,60,97,86
41,50,79,42,74
96,46,82,94,37
34,61,59,99,43
85,55,75,40,18
25,93,61,91,77
73,56,75,39,91
87,22,56,74,63
34,38,81,37,68
79,52,38,62,42
58,36,23,95,98
38,35,74,29,95
17,23,94,11,25
21,48,25,69,68
55,84,29,49,90
92,84,77,85,28
35,50,37,90,16
69,10,96,39,84
27,85,16,63,88
29,94,73,15,77
68,63,93,85,84
63,40,15,88,97
49,66,32,23,21
73,56,35,73,55
99,29,70,25,45
54,86,34,27,77
46,55,74,50,46
83,17,61,58,13
64,33,15,51,25
Maths,Physics,English,Economics,Biology
43,49,73,20,32
56,97,18,44,53
79,90,68,98,62
83,90,86,21,28
26,42,19,69,53
76,26,55,40,34
17,70,95,94,22
19,90,25,94,68
24,13,80,97,97
28,29,92,88,55
26,71,23,61,92
64,81,54,49,19
18,15,96,26,89
97,98,22,73,94
16,98,93,26,38
12,55,10,78,78
69,28,72,37,94
32,14,66,69,78
26,21,18,81,98
17,84,24,80,53
31,17,19,69,19
23,54,23,98,94
91,54,25,25,83
27,96,70,49,64
23,58,90,60,87
64,11,54,61,19
74,32,28,85,23
64,68,30,92,15
33,79,63,83,45
80,83,49,76,54
Maths,Physics,English,Economics,Biology
68,67,88,43,95
34,72,94,19,10
91,45,44,54,22
17,72,17,56,49
67,82,75,28,35
18,73,12,63,70
39,12,48,36,46
40,79,26,20,57
48,89,11,73,68
71,43,98,99,93
93,68,20,49,43
33,61,52,79,11
30,17,67,97,61
17,41,74,53,10
87,39,69,43,59
28,44,72,75,24
25,54,50,22,38
21,69,87,29,82
44,91,90,25,37
53,23,41,22,22
78,28,17,25,54
59,40,46,59,14
78,79,50,26,71
31,33,30,66,29
96,68,25,79,25
57,56,97,97,59
69,37,15,91,15
12,93,16,48,11
16,82,75,37,78
19,62,83,43,16
Maths,Physics,English,Economics,Biology
67,81,47,66,68
17,70,15,31,95
33,97,70,54,37
59,58,30,13,15
77,97,49,91,72
79,44,64,67,40
44,17,25,19,21
69,66,79,56,19
96,33,41,65,47
60,27,61,92,12
44,59,16,97,80
35,96,37,80,93
47,78,96,23,10
86,56,32,38,87
95,80,89,51,62
25,37,68,32,16
77,68,16,38,52
88,11,31,99,74
93,85,92,20,95
52,86,54,70,59
52,18,18,60,92
88,37,86,78,70
29,87,89,62,56
53,96,87,41,40
21,16,48,51,21
44,72,48,52,13
87,58,81,60,63
48,81,84,65,33
55,67,49,17,64
97,33,72,69,17
Maths,Physics,English,Economics,Biology
32,91,91,43,40
75,24,22,59,44
74,59,97,73,73
42,84,62,74,55
97,79,89,51,44
37,89,92,54,66
48,11,98,24,11
83,71,21,57,71
11,55,83,12,27
82,74,73,24,36
50,25,20,21,49
72,88,25,59,75
10,22,20,49,83
41,93,82,46,83
84,51,27,19,54
98,18,70,58,94
69,75,11,36,16
90,13,96,24,46
34,61,10,78,37
88,58,55,97,99
94,44,37,39,17
52,30,85,12,33
10,91,45,42,37
49,31,63,57,22
42,19,48,65,91
39,84,31,86,21
65,58,66,67,67
80,91,27,77,85
38,67,37,80,46
30,47,18,29,69
Maths,Physics,English,Economics,Biology
35,51,46,86,64
27,30,76,15,35
87,65,16,96,28
48,15,63,67,51
69,44,88,66,44
90,85,29,45,41
10,43,32,79,44
36,98,90,21,91
26,76,25,98,41
53,80,72,20,88
92,97,81,79,14
64,11,56,11,75
90,15,70,49,92
98,32,71,80,80
81,61,65,45,59
73,97,17,93,18
96,37,36,52,36
78,15,62,92,34
95,41,86,15,42
75,44,52,64,25
83,50,27,15,50
94,50,90,83,18
87,38,88,70,97
30,99,91,48,28
82,24,60,49,19
27,87,36,52,90
92,80,98,82,50
25,46,21,26,80
61,16,58,80,21
58,64,43,87,64
Maths,Physics,English,Economics,Biology
77,32,34,35,94
90,14,27,66,31
92,12,44,19,38
90,30,63,17,23
53,71,83,72,69
11,36,65,60,41
69,96,27,96,56
26,39,36,64,88
79,21,15,97,92
58,50,16,77,67
61,76,41,56,80
31,87,18,41,76
76,42,70,38,57
22,14,47,46,73
22,69,94,72,45
67,46,73,46,43
28,66,70,78,89
76,83,86,88,21
37,74,23,24,94
93,87,14,27,18
32,79,66,99,99
16,28,11,80,91
48,85,77,44,47
69,46,28,65,69
31,61,65,43,33
81,55,69,56,87
86,72,62,45,13
76,86,16,85,20
28,92,52,31,84
94,60,31,34,17
Maths,Physics,English,Economics,Biology
15,75,13,28,94
76,60,31,63,40
99,55,34,95,77
16,61,36,28,57
26,69,32,76,97
68,69,93,41,43
12,39,99,59,84
29,50,10,18,45
73,17,78,74,38
59,28,18,48,25
64,88,60,36,11
26,83,47,14,47
43,62,62,45,52
81,21,37,44,83
77,21,41,76,98
29,90,16,90,30
95,44,19,92,14
22,41,33,84,86
41,99,59,73,95
44,40,91,22,81
72,83,14,97,29
16,36,38,21,37
31,35,40,57,34
77,16,74,88,27
65,90,44,17,62
89,14,80,72,24
59,27,66,77,71
98,27,26,11,71
44,25,97,67,68
99,86,50,65,48
Maths,Physics,English,Economics,Biology
24,96,97,33,29
90,60,55,94,56
73,47,96,71,53
30,78,78,40,60
55,72,74,95,57
26,90,63,51,19
16,70,29,42,49
21,16,80,18,51
47,89,44,29,38
19,64,50,75,20
56,36,87,56,14
78,29,93,36,93
13,91,27,84,64
47,74,59,18,57
99,89,28,23,49
15,98,68,65,90
50,21,95,77,67
64,86,52,17,43
75,69,35,16,77
66,31,47,54,33
64,51,18,95,64
51,77,58,44,77
88,47,10,38,11
50,60,34,43,19
40,59,64,80,11
98,68,63,59,20
73,49,65,90,50
81,26,47,82,98
27,30,63,14,23
48,89,32,32,95
Maths,Physics,English,Economics,Biology
41,64,89,71,40
32,18,59,74,91
29,26,68,62,73
23,10,44,87,37
68,78,22,90,54
14,40,86,94,76
69,50,25,52,60
28,74,60,34,35
67,85,73,25,50
23,10,28,47,72
73,57,93,89,87
73,67,32,56,27
43,56,24,32,95
40,61,88,72,27
84,53,24,73,89
72,13,74,66,17
94,93,62,50,20
38,18,99,14,71
37,77,81,27,34
87,46,49,16,61
47,78,14,25,38
26,69,45,13,77
89,72,36,96,97
54,87,13,55,70
93,66,10,77,92
16,92,10,25,74
71,92,80,78,29
94,38,88,13,93
75,28,28,45,97
